epoch  374 ; loss =  2.97351087789
epoch  375 ; loss =  2.97099499641
epoch  376 ; loss =  2.96849259657
epoch  377 ; loss =  2.96599312543
epoch  378 ; loss =  2.96350343461
epoch  379 ; loss =  2.96101988049
epoch  380 ; loss =  2.95854945313
epoch  381 ; loss =  2.95610304628
epoch  382 ; loss =  2.95365803249
epoch  383 ; loss =  2.95122372108
epoch  384 ; loss =  2.94880478114
epoch  385 ; loss =  2.94639138289
epoch  386 ; loss =  2.94398206421
epoch  387 ; loss =  2.94159246556
epoch  388 ; loss =  2.9391990213
epoch  389 ; loss =  2.93682083067
epoch  390 ; loss =  2.93445303392
epoch  391 ; loss =  2.93210452778
epoch  392 ; loss =  2.92975520332
epoch  393 ; loss =  2.92741455537
epoch  394 ; loss =  2.92507893551
epoch  395 ; loss =  2.92276188791
epoch  396 ; loss =  2.92044094935
epoch  397 ; loss =  2.91815390436
epoch  398 ; loss =  2.9158578771
epoch  399 ; loss =  2.91356214872
epoch  400 ; loss =  2.91129724746
epoch  401 ; loss =  2.90902689314
epoch  402 ; loss =  2.90676792073
epoch  403 ; loss =  2.90452067447
epoch  404 ; loss =  2.90229015632
epoch  405 ; loss =  2.90005524289
epoch  406 ; loss =  2.897829579
epoch  407 ; loss =  2.89561930891
epoch  408 ; loss =  2.89341188851
epoch  409 ; loss =  2.89122499478
epoch  410 ; loss =  2.88902296079
epoch  411 ; loss =  2.8868508868
epoch  412 ; loss =  2.88467363322
epoch  413 ; loss =  2.88252146306
epoch  414 ; loss =  2.88037081101
epoch  415 ; loss =  2.87821254366
epoch  416 ; loss =  2.87606859104
epoch  417 ; loss =  2.87395307619
epoch  418 ; loss =  2.87182296181
epoch  419 ; loss =  2.86970793445
epoch  420 ; loss =  2.86759382263
epoch  421 ; loss =  2.86550728045
epoch  422 ; loss =  2.86341578095
epoch  423 ; loss =  2.86133611718
epoch  424 ; loss =  2.85925679695
epoch  425 ; loss =  2.85719562814
epoch  426 ; loss =  2.85511904869
epoch  427 ; loss =  2.85307937981
epoch  428 ; loss =  2.85102413848
epoch  429 ; loss =  2.8489888642
epoch  430 ; loss =  2.84695771036
epoch  431 ; loss =  2.84493498431
epoch  432 ; loss =  2.84292944639
epoch  433 ; loss =  2.84092069772
epoch  434 ; loss =  2.83891824549
epoch  435 ; loss =  2.83692777191
epoch  436 ; loss =  2.83494173725
epoch  437 ; loss =  2.8329673157
epoch  438 ; loss =  2.83099482932
epoch  439 ; loss =  2.82902143668
epoch  440 ; loss =  2.82706653179
epoch  441 ; loss =  2.82511852179
epoch  442 ; loss =  2.82318041888
epoch  443 ; loss =  2.82124507118
epoch  444 ; loss =  2.81931254225
epoch  445 ; loss =  2.8173908514
epoch  446 ; loss =  2.81546564095
epoch  447 ; loss =  2.81356838698
epoch  448 ; loss =  2.81166199305
epoch  449 ; loss =  2.80977551807
epoch  450 ; loss =  2.80788033634
epoch  451 ; loss =  2.80600124031
epoch  452 ; loss =  2.80412728436
epoch  453 ; loss =  2.80225928063
epoch  454 ; loss =  2.80038632646
epoch  455 ; loss =  2.79853700836
epoch  456 ; loss =  2.79669287638
epoch  457 ; loss =  2.79484276607
epoch  458 ; loss =  2.79300787195
epoch  459 ; loss =  2.79118577822
epoch  460 ; loss =  2.78935533161
epoch  461 ; loss =  2.78754226241
epoch  462 ; loss =  2.78573308932
epoch  463 ; loss =  2.78392903468
epoch  464 ; loss =  2.78212509547
epoch  465 ; loss =  2.78033574995
epoch  466 ; loss =  2.77855958891
epoch  467 ; loss =  2.77676479171
epoch  468 ; loss =  2.77498372556
epoch  469 ; loss =  2.77323980737
epoch  470 ; loss =  2.77146758985
epoch  471 ; loss =  2.76971507931
epoch  472 ; loss =  2.76795797767
epoch  473 ; loss =  2.76621978152
epoch  474 ; loss =  2.76448065163
epoch  475 ; loss =  2.76273656819
epoch  476 ; loss =  2.7610215969
epoch  477 ; loss =  2.75929894124
epoch  478 ; loss =  2.75758984831
epoch  479 ; loss =  2.75587755321
epoch  480 ; loss =  2.75416461295
epoch  481 ; loss =  2.75247163147
epoch  482 ; loss =  2.75078435762
epoch  483 ; loss =  2.74909372804
epoch  484 ; loss =  2.74741573189
epoch  485 ; loss =  2.74574170367
epoch  486 ; loss =  2.74407001565
epoch  487 ; loss =  2.74240268754
epoch  488 ; loss =  2.74073848429
epoch  489 ; loss =  2.73908831063
epoch  490 ; loss =  2.73744866621
epoch  491 ; loss =  2.7358038477
epoch  492 ; loss =  2.73416463374
epoch  493 ; loss =  2.732527738
epoch  494 ; loss =  2.73090537584
epoch  495 ; loss =  2.72928960454
epoch  496 ; loss =  2.72765842226
epoch  497 ; loss =  2.72605914238
epoch  498 ; loss =  2.72445829801
epoch  499 ; loss =  2.7228451689
